bbl,bin,compltyear,unitsco,zoningdst1,latitude,longitude,lotarea,lotfront
1004207501,1087549,2010,54.0,C6-1,40.7200323004,-73.9916507346,8533,125.1000000
1004710015,1087877,2010,5.0,C6-2G,40.7201741625,-73.997205757,1906,24.8300000
1016390027,1087368,2011,30.0,R7-2,40.795373557,-73.9433040518,6106,60.5000000
1017160051,1089401,2013,39.0,R7-2,40.7959660345,-73.9321604963,7424,75.7500000
1016767505,1088159,2010,8.0,R7-2,40.7887839135,-73.9410539639,1875,25.0000000
1005867502,1088707,2010,5.0,C2-6,40.7309891578,-74.0039898727,2038,34.0000000
1016330020,1088165,2010,37.0,C1-5,40.7916654188,-73.9463363579,7592,75.0000000
1020457505,1089581,2016,14.0,R8,40.8238826691,-73.9418327487,2498,25.0000000
1006957510,1090389,2016,6.0,M1-5,40.7489083429,-74.0063249368,2469,25.0000000
1017860045,1054620,2017,4.0,R7A,40.8013091616,-73.9367734308,2523,25.0000000
1019160154,1058136,2012,2.0,R7-2,40.8128185799,-73.9442559524,1199,12.0000000
1006370051,1012002,2014,6.0,C6-2,40.7350778865,-74.009669461,2170,23.5000000
1016440041,1088163,2011,1.0,R7A,40.7987194695,-73.9401277324,1802,25.0000000
1001060002,1086078,2010,3.0,C6-2A,40.7088401119,-74.001137791,1866,25.0000000
1013227502,1038040,2010,76.0,C1-9,40.7541932102,-73.9694267776,8960,90.4200000
1002197505,1088677,2011,7.0,C6-2A,40.7224993041,-74.0087544361,5317,51.6700000
1019130038,1057953,2015,13.0,R7-2,40.810417915,-73.9443198942,2648,26.5000000
1015157504,1088727,2010,6.0,R10,40.7805991943,-73.9564039111,1952,19.0000000
1008810060,1088613,2011,8.0,C6-2,40.7411336608,-73.983068708,1876,38.0000000
1019537502,1087740,2017,11.0,R7-2,40.8119723903,-73.9529016799,2498,25.0000000
1004380018,1087563,2010,11.0,R7-2,40.7287207151,-73.983019214,2369,25.0000000
1016817503,1081362,2011,35.0,R7A,40.7920471467,-73.9393758582,7569,75.0000000
1022380014,1088127,2011,22.0,R7-2,40.8674816201,-73.9240779541,5000,50.0000000
1019280005,1088142,2016,6.0,R7A,40.8081937687,-73.9519556299,2018,20.0000000
1017090015,1089523,2019,13.0,R7B,40.794955276,-73.934527849,4037,40.0000000
1018487504,1088149,2011,4.0,R7A,40.8038104186,-73.9565343054,1682,16.6700000
1000537502,1088442,2010,440.0,C6-9,40.7092060618,-74.0136758379,14217,116.3300000
1008330040,1088687,2017,1.0,C5-2,40.7468231167,-73.9861157637,2000,20.0000000
1016600024,1052468,2013,16.0,R8A,40.7936017214,-73.9406734959,2525,25.2500000
1018250043,1087969,2010,21.0,C1-4,40.8022231452,-73.9508811309,5046,50.0000000
1004610003,1087921,2010,21.0,C6-1,40.727776662,-73.9908320665,11662,121.5300000
1001007502,1087485,2011,898.0,C6-4,40.7108990763,-74.0056105794,41370,210.3700000
1004127501,1090121,2014,295.0,C6-1,40.7217472522,-73.9880140067,15611,128.1700000
1003030015,1082490,2012,106.0,C6-1G,40.7170421778,-73.9951575172,5452,50.2500000
1017720009,1088783,2010,50.0,R7-2,40.8034925149,-73.9389022908,10092,100.0000000
1019537503,1089730,2014,12.0,R7-2,40.8120003439,-73.9529808484,2498,25.0000000
1002847504,1083411,2018,20.0,C1-5,40.7137936616,-73.989068722,5871,26.0800000
1003787501,1089859,2016,30.0,R8A,40.7239881556,-73.9763379412,4324,67.1200000
1020067501,1089124,2010,15.0,R7-2,40.8161956438,-73.9403708947,4996,50.0000000
1020077502,1087838,2010,17.0,C1-4,40.8175152221,-73.941642509,5000,50.0000000
1004067503,1089863,2016,11.0,R8B,40.7289024469,-73.9793990464,2581,0.0000000
1013697502,1040540,2010,6.0,R10,40.7579379468,-73.961408016,2008,20.0000000
1001070028,1088490,2012,40.0,C6-2A,40.7084195069,-74.0007579833,5499,69.5800000
1007467507,1087987,2010,14.0,C1-6,40.7459155244,-74.0006097246,4938,50.0000000
1015297501,1048713,2012,3.0,R8B,40.7767249735,-73.9535767961,2597,25.4200000
1004150010,1089458,2016,1.0,C6-1,40.7201499777,-73.9906748396,2228,25.2500000
1006940039,1087591,2011,111.0,C6-3A,40.7475351927,-74.0046874224,13578,135.7500000
1005077502,1088895,2013,24.0,C6-1,40.723085,-73.993376,7685,21.0000000
1003537503,1088708,2011,24.0,R7A,40.719292,-73.987183,6158,71.5700000
1000390038,1000881,2010,112.0,C5-3,40.7055883001,-74.007232382,2562,41.5000000
1003450058,1088482,2010,248.0,R7-2,40.7204835445,-73.9817380808,15269,150.0000000
1001497502,1087951,2011,84.0,C6-4A,40.7146118216,-74.0063695239,6824,50.0000000
1006967502,1088748,2010,18.0,C6-3,40.7487478113,-74.0038431142,6332,39.5800000
1008030049,1080594,2010,110.0,M1-6,40.7461780712,-73.9914478155,5925,60.0000000
1020117501,1060104,2010,10.0,R7-2,40.8194705407,-73.9392951485,2698,27.0000000
1005957505,1088839,2011,9.0,M1-5,40.724795,-74.009875,5837,113.0000000
1002837503,1089025,2012,23.0,C6-2,40.714188599,-73.991563171,4695,50.0000000
1002767503,1088682,2010,28.0,R7-2,40.7117179171,-73.9950129439,7538,0.0000000
1007630028,1088523,2010,411.0,C6-4,40.7558361887,-73.9917881292,7406,75.0000000
1018287506,1088153,2010,36.0,R7-2,40.8017067224,-73.9564108261,9461,93.7500000
1002110029,1088921,2010,369.0,M1-5,40.7206441307,-74.0043659424,10622,63.1100000
1005947510,1089837,2016,31.0,C6-2A,40.7249483666,-74.0087153421,9015,154.1900000
1017360001,1083987,2018,64.0,R7-2,40.8161883508,-73.938876349,16986,199.8300000
1019530030,1059340,2010,8.0,C1-4,40.8111384281,-73.9508747063,2500,25.0000000
1020650022,1061578,2010,16.0,R7-2,40.8277913588,-73.9432583636,4996,50.0000000
1013037502,1090523,2011,116.0,C6-6,40.755295,-73.972947,4229,60.4200000
1015447502,1077060,2010,7.0,R8B,40.7749109341,-73.9532394078,2554,25.0000000
1010637502,1087823,2010,83.0,C6-2,40.7660199268,-73.9884861635,34780,300.0000000
1020627501,1089332,2013,12.0,R7-2,40.8259075024,-73.9437491564,2500,25.0000000
1001640009,1088323,2010,34.0,C6-1,40.7151368487,-73.9994521716,8782,118.5800000
1011697502,1088577,2010,33.0,C4-6A,40.7827315893,-73.9800729471,5108,50.0000000
1021550026,1063701,2015,36.0,R7-2,40.8485679487,-73.9312825909,4970,50.0000000
1013447503,1089775,2015,123.0,C1-9,40.7555798962,-73.9675574698,15053,125.4200000
1015540023,1087665,2010,105.0,R8B,40.7803895736,-73.9472170483,10000,100.0000000
1021807504,1088734,2010,40.0,R7-2,40.8568681961,-73.9339492547,9737,57.2400000
1007367501,1089889,2014,194.0,C1-7A,40.756409,-73.99451,14808,148.1000000
1012607502,1034238,2010,53.0,C6-6,40.7563227963,-73.982209629,6024,60.0000000
1018487503,1088733,2010,73.0,R8,40.8041445533,-73.9560194954,18615,160.9200000
1004790029,1088694,2011,57.0,C6-1,40.7205563618,-73.9952633094,3825,33.6700000
1006957507,1088639,2011,11.0,C6-2A,40.7481733824,-74.0046778374,3950,40.0000000
1016837502,1052875,2010,21.0,R7A,40.7935285844,-73.9389721955,5046,50.0000000
1000530002,1088967,2014,492.0,C6-9,40.708258706,-74.014098802,5165,55.0000000
1006417503,1087979,2010,12.0,C1-6A,40.7377120617,-74.0088688337,8795,110.4600000
1018070015,1089085,2010,41.0,R7-2,40.7975455633,-73.9325796479,7569,75.0000000
1016617503,1076370,2014,12.0,R7A,40.7944520774,-73.9411387087,2523,25.0000000
1000100033,1087618,2010,399.0,C5-5,40.703877996,-74.0123125356,6834,71.5000000
1007600068,1013606,2010,207.0,C6-4M,40.7548166128,-73.9943858997,12343,125.0000000
1005090019,1082676,2013,9.0,C6-3,40.7245795609,-73.9949167326,2993,42.0000000
1019557502,1088814,2011,22.0,R8,40.8126270385,-73.9505192422,3458,40.3700000
1019167501,1088684,2011,8.0,R7-2,40.8121803586,-73.9436724098,1799,18.0000000
1016077503,1051489,2012,229.0,R9,40.7911693794,-73.9523025394,16507,177.5000000
1001907508,1088918,2012,6.0,M1-5,40.719893,-74.006111,4307,52.9200000
1008610004,1089951,2013,165.0,C5-2,40.7467190313,-73.9852850315,8400,56.0000000
1016317501,1089312,2013,42.0,C1-5,40.7905115358,-73.9471865789,9500,100.0000000
1004110041,1005368,2010,32.0,C6-1,40.7203208586,-73.9880239296,2003,22.5000000
1017857502,1088601,2011,64.0,R7A,40.8006043631,-73.9376671115,8580,78.9200000
1005777504,1088513,2010,30.0,C6-2,40.7361550649,-73.9947426919,5163,50.0000000
1005267502,1089989,2016,4.0,R7-2,40.728824257,-74.0009524218,1857,0.0000000
1019320033,1087804,2010,46.0,C1-4,40.810257656,-73.9479322282,11791,20.3300000
1000927501,1089833,2015,384.0,C6-4,40.710451,-74.00597,9875,102.5000000
1003847505,1087923,2010,5.0,R7-2,40.7214332365,-73.9824985112,2075,24.7500000
1004120048,1087953,2014,186.0,C6-1,40.7218360006,-73.9872178089,6806,75.0000000
1018337506,1088631,2010,132.0,C1-5,40.7943203931,-73.9659815151,35100,260.0000000
1018337507,1088152,2010,63.0,C1-5,40.7949668363,-73.965628724,16782,214.3500000
1018337505,1088481,2010,56.0,C1-5,40.7937940007,-73.9664693896,14000,175.0000000
1008947504,1088713,2014,125.0,R10,40.7491988184,-73.9773573534,3786,47.3300000
1007630065,1088524,2010,155.0,C6-4,40.7566008639,-73.9928637495,3291,33.3300000
1008057502,1015146,2010,302.0,C6-4X,40.7470946274,-73.990150858,32433,197.5000000
1019270061,1089789,2014,41.0,R8A,40.8079785591,-73.9523950833,5000,50.0000000
1000900017,1089790,2013,168.0,C5-5,40.7108803657,-74.00737278,9317,123.7500000
1007167505,1088185,2010,22.0,C2-5,40.7449447333,-74.0057555653,6967,69.6700000
1018307502,1087928,2010,38.0,R8A,40.8031905551,-73.9558941769,8074,100.9200000
1009397501,1087841,2010,130.0,C1-9,40.7439708535,-73.9754708142,17281,175.0000000
1005440065,1088207,2010,132.0,M1-5B,40.727410832,-73.9918170375,13542,71.0000000
1008780045,1088656,2013,18.0,C2-8A,40.7388030152,-73.9837110669,2469,25.0000000
1017957502,1054724,2010,11.0,R7A,40.7980685823,-73.9347766518,2523,25.0000000
1020890045,1088132,2011,86.0,R8,40.8255059023,-73.9527890065,9992,100.0000000
1004160058,1088499,2015,50.0,C6-1,40.7211705101,-73.988944341,2319,26.5000000
1011587507,1088576,2010,310.0,R8,40.7753555632,-73.9844689796,50000,250.0000000
1007630060,1013693,2010,310.0,C6-4,40.756534483,-73.992705745,6583,66.6700000
1007090031,1088724,2010,835.0,C2-8,40.7570620895,-73.9981740106,59263,300.0000000
1007010062,1088120,2010,369.0,C6-4,40.7527969756,-74.0032913132,27156,74.0000000
1018237503,1088791,2011,12.0,R7-2,40.8006030772,-73.9518046217,2523,25.0000000
1008010071,1015028,2010,0.0,M1-6,40.7454825417,-73.9937713041,9826,99.5000000
1004537501,1088706,2010,36.0,R7-2,40.7301353493,-73.985311305,8397,81.3300000
1016600038,1089423,2014,50.0,R7A,40.7941385853,-73.9413585293,8074,80.0000000
1016810031,1089414,2014,34.0,R7A,40.7922256156,-73.9387827882,5046,50.0000000
1018477503,1088151,2010,28.0,R8A,40.8028798983,-73.956883909,3750,37.5000000
1001767501,1088646,2016,146.0,C6-4,40.7176486978,-74.0062986078,12518,124.9200000
1002270052,1088405,2010,114.0,M1-5B,40.7225675054,-74.0048615383,9676,57.0000000
1019417501,1088139,2010,12.0,C1-4,40.8163614145,-73.9455662651,2498,0.0000000
1014527501,1045197,2010,32.0,C1-9,40.7720278592,-73.9556533004,3243,0.0000000
1017880035,1089718,2016,22.0,R7-2,40.8023123939,-73.9350933422,5954,59.0000000
1004697505,1088500,2010,47.0,C1-9A,40.7329689209,-73.9869615888,4426,28.5000000
1019297504,1090411,2010,168.0,C2-4,40.8091204316,-73.9514435288,15078,125.9200000
1002927502,1088640,2017,83.0,C6-1G,40.7152721479,-73.9938019928,7718,125.7500000
1009980015,1089796,2013,487.0,C6-5.5,40.7575697036,-73.9840242867,9510,94.7000000
1010517502,1088437,2011,1483.0,C6-4,40.7590315627,-73.9949757803,54647,172.3300000
1016610024,1088161,2010,16.0,R8A,40.7942299711,-73.9402169976,2529,25.2900000
1011637503,1081034,2010,196.0,C4-6A,40.7786227797,-73.9824635526,14336,115.2500000
1003100035,1089832,2016,10.0,C6-2,40.7158128954,-73.9899795599,2188,22.6700000
1010827501,1088726,2011,864.0,C6-3X,40.7676960717,-73.9921485716,94463,200.8300000
1004700003,1088501,2010,5.0,C6-2G,40.7194206601,-73.9960643924,2319,24.6700000
1020657501,1061573,2012,12.0,R7-2,40.8281374364,-73.9441939394,2498,25.0000000
1016250016,1088689,2010,298.0,R7-2,40.7870476615,-73.9505436765,28572,176.0000000
1011717508,1087835,2010,286.0,R10,40.7746071026,-73.9907852397,36864,267.0500000
1017267501,1088395,2010,12.0,R7-2,40.8092491076,-73.9416296001,2498,25.0000000
1019270001,1088143,2013,11.0,R8A,40.8075625055,-73.9526116731,1976,32.3300000
1011710148,1088271,2010,209.0,R10,40.7744226295,-73.9901790183,36369,116.5700000
1004767502,1088502,2010,7.0,M1-5A,40.7228275675,-74.0036968676,8223,0.0000000
1008320062,1088534,2011,122.0,M1-6,40.7470055677,-73.9876650864,4938,50.0000000
1002187504,1088611,2010,21.0,M1-5,40.7226133845,-74.0102618189,9300,0.0000000
1003967501,1088495,2010,17.0,C1-6A,40.7287962386,-73.9782511802,4378,49.7500000
1019087505,1088145,2012,8.0,R7-2,40.807190852,-73.9476459233,3028,30.0000000
1019087504,1087830,2010,26.0,R7-2,40.8070880006,-73.947377159,7569,75.0000000
1019877501,1088604,2010,32.0,R7-2,40.8181856615,-73.9540430308,7494,75.0000000
1019287506,1088263,2010,89.0,R8A,40.8084645502,-73.9520109718,11777,124.9200000
1005270013,1088890,2012,1.0,R6,40.7293400403,-74.0032366661,1831,24.4200000
1005270016,1088953,2012,2.0,R6,40.7293915501,-74.0030766415,4918,56.3300000
1016800148,1089783,2016,20.0,R7A,40.7922106457,-73.9406766601,4835,59.0000000
1005800063,1088514,2010,120.0,M1-6,40.7275518423,-74.0058028857,4375,50.0800000
1015107502,1047550,2011,4.0,R10,40.7771164837,-73.9590167635,1600,0.0000000
1006997502,1088126,2010,90.0,C6-3,40.7514559113,-74.0038500833,17406,0.0000000
1008737501,1088551,2012,9.0,R8A,40.7363051426,-73.98739955,5198,0.0000000
1017537504,1087968,2010,13.0,R7-2,40.8075790853,-73.9386116472,3747,37.5000000
1010707502,1088887,2010,7.0,C6-4,40.7600061808,-73.9970806665,1934,19.5800000
1004920037,1088506,2010,7.0,C6-1,40.7213069099,-73.9940527966,2489,25.1700000
1006990033,1090448,2010,89.0,C6-3,40.7507087767,-74.0023764714,9875,98.7500000
1013077502,1090179,2017,94.0,C6-6,40.7583036942,-73.9714303194,10343,1003.0000000
1005297509,1088881,2011,7.0,M1-5B,40.72591,-73.993196,4759,49.8300000
1007310039,1090452,2019,12.0,C6-4,40.752946,-73.997037,1975,19.7500000
1000177501,1090192,2016,186.0,C5-5,40.7078135633,-74.0150182441,18206,0.0000000
1008387501,1015937,2010,377.0,C5-3,40.7501038667,-73.9838122651,16350,132.1300000
1008067501,1088526,2011,26.0,M1-6,40.7482593774,-73.9914285219,2469,25.0000000
1018070041,1088775,2011,12.0,R7-2,40.7980597644,-73.9328261918,2523,25.0000000
